frame,node_id,name,zh,en,source,var,action,note,text,id
settings/local_models,108:367,title,本地模型,Local Models,matched,local.models,bind,,本地模型,108:367
settings/local_models,110:38,lbl,ROI 检测,ROI Detection,matched,stage.roi.title,bind,,ROI 检测,110:38
settings/local_models,110:39,value,MediaPipe,MediaPipe,matched,model.mediapipe,bind,multi resolved=model_mediapipe (stageModelLabel SettingsScreen.kt:1736),MediaPipe,110:39
settings/local_models,110:48,lbl,关键点检测,Landmark Detection,matched,stage.landmark.title,bind,,关键点检测,110:48
settings/local_models,110:49,value,MNN 2D106,MNN 2D106,literal,,skip,data,MNN 2D106,110:49
settings/local_models,110:95,lbl,照片打标,Photo Tagging,matched,tagging.model.label,bind,multi resolved=tagging_model_label (SettingsScreen.kt:562),照片打标,110:95
settings/local_models,110:96,value,Florence-2 优先,Florence-2 preferred,matched,tag.model.auto,bind,,Florence-2 优先,110:96
settings/local_models,110:68,lbl,人脸关键点模式,Face landmark mode,matched,face.landmark.mode,bind,,人脸关键点模式,110:68
settings/local_models,110:77,lbl,动态人脸检测间隔,Adaptive face detect interval,matched,adaptive.face.detect.interval,bind,,动态人脸检测间隔,110:77
settings/local_models,110:86,lbl,检测档位,Adaptive interval profile,manual,face.detect.profile.title,bind,manual:real-key:face_detect_profile_title canvas-zh 检测档位→app 动态间隔强度档位,检测档位,110:86
settings/local_models,110:87,value,平衡,Balanced,matched,face.detect.profile.balanced,bind,,平衡,110:87
settings/local_models,110:104,lbl,语音识别,Speech Recognition,matched,local.asr.model,bind,multi resolved=local_asr_model (SettingsScreen.kt:606),语音识别,110:104
settings/local_models,110:105,value,Zipformer 中英,,manual,,skip,"data(model display name from Model Center, VoiceModelRow)",Zipformer 中英,110:105
settings/local_models,110:114,lbl,唤醒词,Wake Word,matched,local.kws.model,bind,multi resolved=local_kws_model (VoiceModelRow title SettingsScreen.kt:616),唤醒词,110:114
settings/local_models,110:115,value,待下载,Not downloaded,matched,model.pending.download,bind,| layout-fix: lbl 110:114 width 203→hug_contents (EN Wake Word 行 value 溢出 12px+chevron 裁切),待下载,110:115
settings/main_list,108:98,title,设置,Settings,matched,settings,bind,multi resolved=settings (titleRes MAIN SettingsScreen.kt:453),设置,108:98
settings/main_list,108:106,title,账号,Account,matched,account,bind,,账号,108:106
settings/main_list,108:107,subtitle,邮箱注册、额度与 API Key 绑定。,"Email registration, quota and API key binding.",matched,account.desc,bind,,邮箱注册、额度与 API Key 绑定。,108:107
settings/main_list,108:115,lbl,主题模式,Theme Mode,matched,theme.mode,bind,,主题模式,108:115
